u,v,key,edge_id,from,to,length
1449662638,1449662828,0,131754087,1449662828,1449662638,30.201999999999998
1449662638,1449663923,0,131754106,1449663923,1449662638,61.166
1449662640,2482808641,0,240550596,1449662640,2482808641,46.763
1449662640,2482808648,0,240550555,1449662640,2482808648,39.558
1449662640,8246708889,0,240550596,8246708889,1449662640,34.16
1449662643,1449662810,0,131753935,1449662643,1449662810,7.081
1449662643,1449663438,0,131753935,1449663438,1449662643,28.431
1449662647,1449664000,0,131754058,1449662647,1449664000,51.697
1449662647,1449663772,0,131754023,1449663772,1449662647,51.629
1449662647,1449663871,0,131754058,1449663871,1449662647,24.311999999999998
1449662648,1449663216,0,131754049,1449662648,1449663216,144.832
1449662648,1449662791,0,131754011,1449662791,1449662648,204.12399999999997
1449662648,1449663443,0,131754049,1449663443,1449662648,149.435
1449662649,1449663020,0,131753951,1449662649,1449663020,10.813
1449662649,1449663822,0,131753951,1449663822,1449662649,13.317
1449662649,2480665124,0,189242798,2480665124,1449662649,95.444
1449662652,2482806817,0,131754096,1449662652,2482806817,73.106
1449662652,2482806822,0,240550729,2482806822,1449662652,13.836
1449662652,2482806853,0,240550729,2482806853,1449662652,196.98
1449662652,1449663872,0,131754096,1449663872,1449662652,72.58
1449662656,1449663368,0,131754087,1449662656,1449663368,23.895
1449662656,8396171528,0,885758311,1449662656,8396171528,160.647
1449662660,6145448002,0,240325076,1449662660,6145448002,304.957
1449662660,1449662891,0,240325544,1449662660,1449662891,42.356
1449662660,1449663423,0,240325544,1449663423,1449662660,10.085
1449662664,1449663086,0,131754049,1449662664,1449663086,134.122
1449662664,1449663222,0,131754101,1449663222,1449662664,162.84300000000002
1449662664,1449664000,0,131754049,1449664000,1449662664,74.202
1449662665,3589034850,0,240550728,1449662665,3589034850,12.435
1449662665,8396171527,0,131754094,1449662665,8396171527,185.314
1449662665,1449663554,0,131754094,1449663554,1449662665,17.781
1449662665,2482806732,0,240550728,2482806732,1449662665,163.724
1449662671,2479552140,0,240058863,1449662671,2479552140,181.621
1449662671,2479551922,0,240201055,1449662671,2479551922,14.874
1449662671,8240223882,0,240201055,8240223882,1449662671,4.281
1449662675,1449664052,0,240325120,1449662675,1449664052,46.435
1449662675,2482807634,0,240550218,1449662675,2482807634,49.289
1449662675,1449663772,0,240325120,1449663772,1449662675,17.361
1449662699,1449662860,0,240550596,1449662699,1449662860,52.518
1449662699,2482808216,0,240550530,1449662699,2482808216,31.793
1449662699,1449663886,0,240550596,1449663886,1449662699,379.589
1449662702,1694612549,0,131754088,1694612549,1449662702,100.668
1449662702,1694612496,0,157250696,1694612496,1449662702,55.746
1449662702,1694612461,0,157250696,1694612461,1449662702,61.241
1449662708,1457844948,0,189242709,1449662708,1457844948,963.415
1449662708,1449663285,0,189242709,1449663285,1449662708,681.21
1449662708,1449664083,0,131754045,1449664083,1449662708,155.682
1449662719,1449663342,0,240201909,1449662719,1449663342,33.457
