node_id,gc_distance
582438,2147.188205009347
587993,3108.8773409799314
597282,4112.278927715006
597283,4232.658439094797
597417,1910.6746853643713
597426,4828.044027582796
20944547,1830.588714137418
20944548,1498.3754366694352
20944550,1697.3210624992184
20944551,1772.4904965687344
20944552,1655.7113384790348
20944553,1589.7833719211253
20944554,1464.2132072767645
20944556,1124.9108456417853
25871539,4589.843829625615
25871670,4174.381295834627
25871831,4163.91200939643
25871833,4184.264012809393
25872025,4049.484785665271
25872075,3835.643942167002
25872212,3680.405772931138
25872232,3729.023120219952
25872236,3648.453784185657
25872254,3813.4246120615585
25872264,3738.6976214441556
25872274,4074.468927256732
25872723,4429.58206765726
25872726,4431.591162848401
25872749,4428.642551243559
25872763,4468.045140217768
25872766,4478.0401859852645
25875892,4106.820862326379
25875912,4462.433283128345
25875921,4300.563646046792
25908565,4477.875214528068
25908745,4440.5986565213125
25927014,4307.238624050718
25927015,4223.059974407834
25927018,4262.14980109402
25927315,4158.111683427555
25927318,4151.886453971391
25928248,3983.855754250385
25928388,3663.169617623306
25928438,3560.1510635460704
25928439,3621.9020791363637
25928614,3616.757418203255
25928755,3326.697843618063
25928842,2908.241124970137
25928939,2836.6198521483366
25928961,2802.008656594209
25928964,2809.344200102056
25929039,3086.5349791025897
25929410,3076.0250707258047
25929413,3084.0376652530563
25929414,3113.3656413807444
25929616,3331.3992451757786
25947658,3592.816721873913
28143671,1159.298379904692
28149732,2021.0848971052947
28149733,2028.1995890487444
28149735,1918.6894000247207
28149737,1593.0345027359533
28149740,1358.484181810001
28149749,1086.5243402274778
28149750,1066.5132031208161
28149752,1041.9211119062354
28149754,1068.8052155095556
28149758,1019.1220896849918
28149783,950.9926823797088
28800598,2347.0193202686246
28800609,2983.2436452782013
28800732,2360.4701490196644
28800739,3163.1507086192814
28800740,3173.455917750658
28800741,2992.2451906975425
40257921,3277.0964042404985
40257931,3194.9415551989578
60609606,944.423347765001
60609607,978.1840094803874
60609610,983.7556840083504
60609643,1128.9470859017283
60609673,1504.3909255676488
60609692,1973.6991539136586
60609697,1967.5673065268495
60609753,2052.8624262765084
60609766,2007.8643193511325
60609796,1887.270303682198
60609797,1839.3986155149723
60609803,3957.3001676607482
60609811,3657.080303040689
60609819,3564.1713619902152
60609822,3503.648555840237
60609866,3507.695120041595
60609874,3787.39106466994
60609957,3979.6890619977066
60609958,3901.2728501644597
60609959,3791.821236166507
60609963,3439.6420630206085
60609973,3422.2389014409277
60609976,3734.021711329926
60609977,3694.89163955607
60609981,3870.005547790122
60609982,3982.5430845339815
60609990,920.4644166147067
60624525,1758.80419200931
60624537,1948.0511511973066
60624540,2001.8771630745832
60624543,2060.306459304945
60624546,2141.1591662567794
60624550,2288.681892158202
60624552,2284.0666639556425
60624554,2380.5232328032903
60624562,2187.3407175574025
60624564,1945.3497727736158
60624568,1824.9101735308834
60624570,1882.9041175738662
60624571,1714.5716539650023
60624576,1763.4164955623494
60624580,2162.1445391995876
60624592,2061.727006880367
60624593,1749.9261570318013
60624596,1554.1031865198877
60624601,1675.49152720212
60624603,1612.494664465982
60624605,1486.2266177956405
60624607,1557.0838371639047
60624611,1425.2203390154953
60624614,1966.5389499584805
60624616,1636.8115236774408
60624618,1740.5077886064314
60624622,1959.0589359412775
60624624,2185.4756874506916
60624626,2117.09703197209
60624635,1195.8147676791768
60624646,1559.382241337317
60624648,1444.060198239475
60624650,1352.0129239401358
60624688,1268.6720963300677
60624692,1882.5960671905852
60624694,1808.1874528158896
60624699,1078.0474874503955
60624706,1258.4956149277125
60624710,1347.2401945574481
60624713,1845.8805649618253
60624717,1158.62446416733
60624720,1248.9379732882967
60624731,1663.024102362866
60624735,2469.588452855173
60624736,1732.0202581801384
60624739,1470.466271781812
60624741,1388.546012810947
60624743,2552.577329683399
60624745,2591.572996208686
60624752,2380.584208336617
60624754,2121.2779590429354
60624756,2265.072173108737
60634932,4792.8096792203805
60634933,4767.89431333892
60634934,4739.6412010905
60634935,4686.920251150113
60634936,4814.640767418485
60634939,4998.663433296977
60634941,5106.9898993170245
60641012,2971.0269879414177
60641027,3138.639013077415
60641028,3187.005939423109
60641030,3232.2072931880743
60641031,3289.204655210442
60641034,3306.758356638337
60641038,3344.77752491313
60641043,3449.1009875578343
60641048,3472.7498336325725
60641052,3519.436208308432
60641085,3178.166661676359
60641086,3167.92485424585
60641088,3182.125016649393
60641089,3329.9370295012254
60641100,3464.0964478081223
60641101,3490.2668369350313
60641102,3417.366661956162
60641117,3814.4862378820694
60641149,3227.9645713120212
60641181,3215.689738156786
60641188,3211.2301230824423
60641197,3023.9982018972105
60641199,2991.8599896277888
60641200,2899.8408945112005
60641201,2937.3183033623327
60641204,3060.8242682499513
60641211,3263.258956926813
60641252,3027.753175328162
60641257,2945.3121283873397
60641282,3046.6075693653606
60641305,3193.4650560130285
60641326,3228.8628842121307
60641336,3236.170394206311
60641341,3240.8980039612825
60641359,3435.513694044887
60641364,3417.1427523708903
60641382,3394.1749069225825
60641387,3292.74951244447
60641411,3503.530737119737
60641414,3434.8757468436775
60641427,3363.0552207263604
60641430,3389.2230333208054
60641438,3458.2808336853645
60641444,3563.976793099883
60641488,2803.296497208774
60641511,2879.2831375348715
60641571,2825.2783663479877
60641664,2699.24794626787
60641667,2412.241876192692
60685349,3272.928507350009
60685350,3315.3838676011446
60685352,3698.337348303009
60685357,3568.501479631131
60685358,3658.3544629622224
60685360,3661.0514420233885
60685363,3619.2637024272226
60685365,3611.279468595531
60685366,3697.833209117011
60685367,3630.825242169678
60685368,3522.4290276320307
60685370,3660.2526051751597
60685373,3753.405066054099
60685374,3723.2313568829036
60685376,3740.6679621222715
60685377,3744.7100055937403
60685384,3596.2758443820376
60685387,3373.9308301070855
60685391,3625.560241068191
60685397,2844.33244880484
60685402,2882.49116328329
60685404,2860.7797881390247
